track,tempo,score
"Que Fui Tu Amante",82.021,6.4539999961853
Replica,79.978,5.84999990463257
"Pasarla Bien",108.062,6.4539999961853
Probablemente,79.996,6.57800006866455
"Skyline mit zwei Türmen",92.124,7.00600004196167
"Feet Don't Fail Me",109.331,6.71400022506714
"Ayrılık Zamanı",120.009,5.5
"Kawa i Xanax",115.038,5.97300004959106
Chocolate,100.058,6.71400022506714
"Want to Want Me",114.025,6.71400022506714
"Ben Yoruldum Hayat",125.24,5.5
"Solo a Solas (feat. Maluma)",86.928,5.49300003051758
"In The Mood (feat. Veronica)",100.024,6.89099979400635
"Dile Que Tu Me Quieres Remix (feat. Yandel)",175.936,5.49300003051758
"Kung Fu",104.996,5.49300003051758
"Længe Siden",142.026,7.52199983596802
"Enginn Mórall",137.848,7.50400018692017
Bayang,96.865,6.08400011062622
"Ayala (Outro)",83.485,7.28399991989136
"Range Sessie",93.07,7.3769998550415
Sofia,128.014,6.60900020599365
"Man Of The Year",104.027,7.28399991989136
"Sedalam-Dalam Rindu",104.98,6.08400011062622
"Traîtres",122.011,6.89099979400635
"0 Sentimientos (Remix) [feat. Noriel, Darkiel, Lyan, Messiah & Baby Rasta]",107.963,5.49300003051758
"I Can't Stop",126.073,6.89099979400635
"Vazgeçtim",140.601,5.5
"So Good (& Metro Boomin)",90.008,5.22700023651123
"Így Játszom",94.54,5.32399988174438
Heimwee,115.008,7.3769998550415
Seviyorsun,185.95,5.5
"Er Derude",159.927,7.52199983596802
Unsteady,117.055,6.60900020599365
"Is This Love?",120.001,7.50400018692017
"Dancing in the Moonlight",119.397,7.28399991989136
"Boom Boom",110.004,5.49300003051758
Alo,140.035,5.5
"Por Fin Te Encontré",179.988,5.49300003051758
Net,124.945,5.5
"Bum Bum Tam Tam",131.99,5.49300003051758
"Summer Air",102.002,5.22700023651123
"Bajito No",117.151,6.4539999961853
"Love Scars",119.405,6.99300003051758
Snap,140.089,7.28399991989136
Amantes,92.027,6.35699987411499
Titibo-Tibo,119.866,5.42999982833862
Tembeleke,130.997,5.23000001907349
"Eines Tages",79.145,7.00600004196167
Asozial,100.048,7.00600004196167
Fuego,95.154,5.49300003051758
"O helga natt",85.93,7.28399991989136
"Let Me Hold You (Turn Me On)",102.949,7.28399991989136
Nougat,129.997,6.89099979400635
"Happy Days",118.032,5.96400022506714
"Addison Lee (Peng Ting Called Maddison)",133.967,6.71400022506714
AHA,87.28,5.97300004959106
"Ask For It",92.004,7.52199983596802
"Sígueme Bailando",94.97,5.49300003051758
"Giv Mig Noget",100.074,7.52199983596802
"Lost In Your Light (feat. Miguel)",117.097,5.22700023651123
"Birden Geldin Aklıma",163.991,5.5
"Smukkest På En Søndag",78.065,7.52199983596802
"Loco por Volverte a Ver",87.023,5.49300003051758
"Cono Gelato",126.112,5.96400022506714
"あなたがいるなら",130.004,5.92000007629395
"Karimata (Mute)",92.996,5.97300004959106
Kasih,174.044,6.08400011062622
"God, Your Mama, And Me",168.032,7.31599998474121
Love$ick,88.835,7.28399991989136
"Rapariga Não - Ao Vivo",126.001,6.63500022888184
"Slow & Easy",77.971,5.92000007629395
"Sin Contrato - Remix",96.053,5.49300003051758
"Skrt Skrt",95.672,7.31599998474121
"De l'autre côté (feat. Nekfeu)",113.951,6.89099979400635
Ahu,122.06,5.5
"Cuando Se Pone a Bailar",205.643,5.49300003051758
"Fake Magic",101.98,7.28399991989136
"Du kommer ångra det här",130.079,7.28399991989136
"Let the Sun Shine",117.078,6.71400022506714
"Love Song",90.081,7.3769998550415
"100 Años",170.035,6.4539999961853
Insegura,108.035,6.4539999961853
Caraluna,102.789,6.35699987411499
"Que Fue (feat. El Alfa)",119.989,5.23000001907349
"Acércate (feat. Nicky Jam) - Remix",88.007,5.49300003051758
"Yine Sevebilirim",144.005,5.5
"Can't Have Everything",82.495,5.22700023651123
"Fica - Bonus Track",93.961,6.63500022888184
"Saldo '07",73.586,5.97300004959106
"Liegen Voor Jou",119.935,7.3769998550415
"Banda de Camion",160.003,5.23000001907349
Vervloekt,107.958,7.3769998550415
"Where Are You Christmas",108.676,7.28399991989136
"Tenta Vir - Acústico",92.07,6.63500022888184
Supercut,124.881,5.22700023651123
A-Punk,174.923,6.71400022506714
"Ist da jemand",145.917,7.00600004196167
Neinei,105.026,7.50400018692017
"A Mala É Falsa - Ao Vivo",130.014,6.63500022888184
"Nuestro Secreto",104.042,5.49300003051758
"For Whom The Bell Tolls",111.65,6.99300003051758
"Bebe (feat. Anuel AA)",169.829,5.49300003051758
"Estaca Zero",165.042,6.63500022888184
"No Such Thing as a Broken Heart",171.988,7.31599998474121
"Locuras contigo",109.1,5.49300003051758
"Pierde Los Modales",89.991,6.35699987411499
Mayores,96.989,5.49300003051758
Friday,124.589,6.89099979400635
"Mele Kalikimaka - Single Version",204.153,5.22700023651123
"Si Tú La Ves",177.912,5.49300003051758
"Vida Tranquila",90.003,6.4539999961853
"Yanımda Kal",136.055,5.5
"Jingle Bells",108.367,6.40299987792969
"When We Were Young",143.86,7.28399991989136
Human,75.09,5.22700023651123
"Ela Só Quer Paz",172.019,6.63500022888184
"Olha a Explosão",89.988,5.49300003051758
"Paredes - Ao Vivo",169.974,6.63500022888184
Deli,95.066,5.5
"Mi Tesoro (feat. Nicky Jam)",93.003,5.49300003051758
Hurricane,75.975,7.31599998474121
"White Iverson",130.098,7.28399991989136
"Sé Que Te Duele",94.954,5.49300003051758
"O Que Falta Em Você Sou Eu - Ao Vivo",143.941,6.63500022888184
"Pettävällä Jäällä - Vain Elämää Kausi 6",111.983,7.4689998626709
Gamechanger,150.002,7.00600004196167
"Dile La Verdad",170.085,6.4539999961853
"Bailame Despacio - Piso 21 Remix",176.021,5.49300003051758
"Quiéreme",176.101,5.49300003051758
"What They Want",139.553,5.19500017166138
"Revival (Interlude)",99.861,5.22700023651123
"Sorry - Latino Remix",100.007,6.35699987411499
"Jul, jul strålande jul",109.464,7.28399991989136
Tinka,90.981,7.52199983596802
Loka,180.063,5.19500017166138
"Não Sinto",119.172,5.19500017166138
"Road Trip",130.027,7.28399991989136
"İçinde Aşk Var",94.948,5.5
Vitamina,131.98,5.49300003051758
"Kiss Me",74.993,7.28399991989136
"Crazy In Love",99.259,7.28399991989136
Segalanya,137.876,6.08400011062622
"Shut Up",74.457,6.71400022506714
"Menina Pipoco",140.048,6.63500022888184
"Ist es das was Ihr wollt (Intro)",184.584,7.00600004196167
"U R M' Pocket",182.019,5.92000007629395
"Günaydın Memur Bey",109.936,5.5
"Der Pate",127.743,7.00600004196167
"Take what you want (featuring 5 Seconds of Summer)",118.016,5.92000007629395
Wieso?,119.954,7.00600004196167
"Chave Cópia - Ao Vivo",135.957,6.63500022888184
Vuelve,77.426,6.40299987792969
"Baila Conmigo",99.948,5.49300003051758
"iPhone 17 (feat. Moé)",92.839,7.00600004196167
"キセキ",90.032,5.92000007629395
"Zeg Mij",116.028,7.3769998550415
Fuego,122.022,5.19500017166138
"優しくしないで'95",95.99,5.92000007629395
"No Type",125.008,5.97300004959106
"Vienes y Te Vas",203.791,6.4539999961853
"ラビリンス - Album Mix",121.967,5.92000007629395
"Traicionera - Remix",91.06,5.49300003051758
Malandramente,129.929,5.49300003051758
"Sor Bana Pişman mıyım",177.2,5.5
High,75.0,5.49300003051758
"Ressaca de Saudade - Ao Vivo",177.892,6.63500022888184
