songid,track,artist,region,datee,position,streams,danceability,energy,song_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_sig,country_name,rank,score,high,low,gdp,fam,health,freedom,gen,trust,dys
4F7RKNYTepAZbPGhM7JwU7,Den Bedste Julesang Ever,Ude Af Kontrol,dk,12/29/17,177,8594,0.851,0.803,10,-5.607,0,0.171,0.215,4.78E-06,0.0711,0.59,128.026,174375,4,Denmark,2,7.521999836,7.581728065,7.462271607,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,2.313707352
0FVuUna31PTRmWGLs8W1o4,Se Pone Loca,CantoParaBailar,uy,12/31/17,150,1565,0.499,0.879,9,-2.804,1,0.164,0.158,0,0.0998,0.959,205.829,201000,4,Uruguay,28,6.453999996,6.545906218,6.362093775,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,2.172409534
7HGHhLbAklVxGkYdwyeVML,Friday Night,Vigiland,se,12/31/17,88,66214,0.718,0.673,1,-5.567,0,0.0366,0.00104,1.16E-05,0.0577,0.0825,128.051,173871,4,Sweden,9,7.28399992,7.344094877,7.223904962,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729,2.097537994
37DbCoArETu3xBSm5MT2o7,Lamborghini,Gue Pequeno,ch,6/30/17,178,3204,0.825,0.568,10,-5.62,1,0.0658,0.375,0,0.312,0.572,124.053,218400,4,Switzerland,4,7.493999958,7.56177242,7.426227496,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,2.276716232
77hjM9bMmgfTGJXv14UFmi,Play That Song,Train,au,5/16/17,178,17802,0.392,0.825,0,-2.068,0,0.0535,0.0231,2.25E-06,0.0972,0.482,98.959,243253,4,Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819
3pM81OKNrV6d2zJb76nQ6M,Turutum,MC Kevinho,py,7/30/17,141,1081,0.887,0.883,1,0.076,1,0.0728,0.397,0.00638,0.0949,0.963,130.015,206860,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,Queen,au,9/7/17,157,22175,0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,354320,4,Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819
2nJujuhYIcdVue7sNeZUq9,Bruce Wayne,Bugzy Malone,gb,7/20/17,168,44662,0.465,0.811,7,-4.914,1,0.305,0.0741,0.000531,0.14,0.513,172.283,227243,5,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066,1.704143524
0q0TDcXNZHj0prJIG4R4Jz,DIAMOND SUNSET,Hiroomi Tosaka,jp,12/3/17,195,3386,0.599,0.845,2,-4.992,1,0.083,0.107,0,0.153,0.666,103,203947,4,Japan,51,5.920000076,5.990719445,5.849280708,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,1.363223553
0qYTZCo5Bwh1nsUFGZP3zn,Felices los 4,Maluma,py,12/31/17,38,5739,0.755,0.789,5,-4.502,1,0.146,0.231,0,0.351,0.737,93.973,229849,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
1ugI5iU8E5yKoOYMmYbVLE,100 Años,Ha*Ash,uy,11/30/17,193,1106,0.56,0.754,5,-4.923,1,0.0841,0.0856,0,0.132,0.607,170.021,184653,4,Uruguay,28,6.453999996,6.545906218,6.362093775,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,2.172409534
0swhRlMVAFZUralMYJ7RAj,Punto G - Remix,Brytiago,do,5/6/17,150,1068,0.78,0.586,9,-4.569,0,0.14,0.211,0,0.104,0.31,140.086,446010,4,Dominican Republic,86,5.230000019,5.349060885,5.110939153,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,1.31946516
2Wf68eYFga8t2xZXLtTuU1,Tatlım Tatlım - Orijinal Film Müziği,Ersay Üner,tr,12/31/17,125,10775,0.605,0.337,9,-10.223,0,0.169,0.147,5.16E-05,0.0786,0.599,105.306,215692,4,Turkey,69,5.5,5.594864963,5.405135037,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,0.09967158,1.879277945
2UgmthxiqZnsvfLOSqx0BT,Caramelle,Dark Polo Gang,it,6/4/17,38,42747,0.822,0.595,0,-8.415,1,0.0983,0.244,0.00186,0.113,0.641,119.978,150750,4,Italy,48,5.964000225,6.042736906,5.885263544,1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,0.028028091,1.813312054
1KSqYYJFyfTecXFk9M0prc,Escápate Conmigo,Wisin,py,12/31/17,21,8332,0.744,0.859,11,-3.166,1,0.0795,0.0256,6.27E-05,0.0881,0.787,91.977,232787,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
1N9VY22tQUnD84bNWUsyKe,Una Flor,Ozuna,py,11/9/17,154,1119,0.69,0.402,0,-7.973,0,0.116,0.736,0,0.112,0.298,96.89,206480,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON,Enrique Iglesias,py,6/23/17,152,1050,0.724,0.904,8,-3.354,0,0.0966,0.0786,0,0.226,0.846,90.999,200813,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
3YDjqMC2P5jW1RjXhaEuK2,Kouya Wo Aruke,ASIAN KUNG-FU GENERATION,jp,6/18/17,171,2164,0.288,0.823,7,-3.667,1,0.0493,0.0033,0.281,0.218,0.364,165.032,256427,4,Japan,51,5.920000076,5.990719445,5.849280708,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,1.363223553
0EM85Qj3526QtxCBOQL6rT,Du,Nemo,ch,12/31/17,106,7340,0.522,0.493,5,-6.74,1,0.0613,0.587,0,0.111,0.297,143.827,216027,5,Switzerland,4,7.493999958,7.56177242,7.426227496,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,2.276716232
3XI2m6F7r5Wg61dx8RZM3Q,Di Sana Cinta Di Sini Rindu,Tajul,my,11/16/17,196,4387,0.513,0.578,11,-6.663,0,0.0253,0.181,0,0.114,0.286,95.994,206944,4,Malaysia,42,6.084000111,6.179979637,5.988020585,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,0.065600708,2.004448891
2gkQ2yVzaer5qx2NzJnHXh,Harus Aku,Sufian Suhaimi,my,8/17/17,199,3834,0.486,0.3,1,-7.728,1,0.0293,0.855,0,0.164,0.241,145.966,244566,4,Malaysia,42,6.084000111,6.179979637,5.988020585,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,0.065600708,2.004448891
2cx4iaLF05RyNUSlm0p3y4,Ekki Seena,Attan,is,10/28/17,94,1007,0.776,0.652,6,-4.917,0,0.0506,0.153,1.64E-06,0.117,0.364,98.029,212767,4,Iceland,3,7.504000187,7.622030473,7.385969901,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,2.322715282
6Zosz8w6CmdGMZM6p4JlbQ,Me Rehúso,Danny Ocean,py,6/4/17,3,11107,0.746,0.794,1,-6.331,1,0.0698,0.0258,0,0.0497,0.447,104.827,205741,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
64kdCC2kt1EhlePTTWe70B,Trapano,Madman,it,12/31/17,80,40375,0.778,0.842,8,-4.589,1,0.117,0.144,0,0.126,0.22,146.926,173692,4,Italy,48,5.964000225,6.042736906,5.885263544,1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,0.028028091,1.813312054
5bgwqaRSS3M8WHWruHgSL5,8TEEN,Khalid,au,11/14/17,189,21504,0.83,0.585,1,-5.802,1,0.0366,0.225,0.00209,0.0576,0.642,105.03,228600,4,Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819
0BpqRe4V2t3EIln48L1ZEQ,35,Taco Hemingway,pl,10/23/17,180,4901,0.264,0.672,0,-9.204,0,0.271,0.404,0.17,0.0781,0.166,74.204,144547,5,Poland,46,5.97300005,6.053908341,5.892091758,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,0.059307806,1.797722816
2bGwLlCIKzk00kcUK6QhZv,Me Tehtiin Tää,Robin,fi,10/26/17,19,32002,0.594,0.665,0,-5.32,0,0.036,0.0332,0,0.177,0.391,95.051,238257,4,Finland,5,7.468999863,7.527542076,7.41045765,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543,2.430181503
3noN1TxpjbjjmKqssghvg8,Si Me Dices Que Si (feat. Nicky Jam),Cosculluela,py,9/8/17,173,1108,0.67,0.679,7,-5.618,1,0.118,0.189,0,0.168,0.798,172.069,276688,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
1RcJsBhCLIirV7PPJT5A2k,Amorcito Enfermito,"Héctor Acosta ""El Torito""",do,12/31/17,180,1080,0.844,0.686,0,-5.247,0,0.0421,0.141,0,0.35,0.759,122.966,230547,4,Dominican Republic,86,5.230000019,5.349060885,5.110939153,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,1.31946516
