songid,track,artist,region,datee,position,streams,danceability,energy,song_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_sig,country_name,rank,score,high,low,gdp,fam,health,freedom,gen,trust,dys,country_name,cap_name,cap_lat,cap_long,cc,continent
4QLIORoW6wqixcwpEyxoRu,"Pejamkan Mata (feat. Dayang Nurfaizah)",Malique,my,2017-12-26,185,4287,0.658,0.719,3.0,-4.67,0.0,0.102,0.682,0.0,0.104,0.651,159.905,231027.0,4.0,Malaysia,42,6.08400011062622,6.17997963652015,5.98802058473229,1.29121541976929,1.28464603424072,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218,2.00444889068604,Malaysia,"Kuala Lumpur",3.16666666666667,101.7,MY,Asia
7JvOGQbMHOcOnz4riGimUb,"人生は夢だらけ","Sheena Ringo",jp,2017-12-29,114,4998,0.382,0.532,8.0,-4.956,1.0,0.0382,0.0587,0.0,0.0861,0.695,200.362,194240.0,3.0,Japan,51,5.92000007629395,5.99071944460273,5.84928070798516,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,1.36322355270386,Japan,Tokyo,35.6833333333333,139.75,JP,Asia
3sr3vqiXLSDIMd2XUDsHoK,Hawaii,Luciano,at,2017-08-29,183,1915,0.799,0.668,2.0,-9.513,1.0,0.423,0.224,1.59e-06,0.887,0.216,130.253,199700.0,4.0,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,Austria,Vienna,48.2,16.366667,AT,Europe
4ZkwCJ2aorTrwgbx3J59oo,"Mevsim Sonbahar",Emir,tr,2017-12-30,185,8266,0.7,0.736,5.0,-8.402,0.0,0.0506,0.352,5.53e-06,0.195,0.406,95.998,216406.0,4.0,Turkey,69,5.5,5.59486496329308,5.40513503670692,1.19827437400818,1.33775317668915,0.637605607509613,0.300740599632263,0.0466930419206619,0.0996715798974037,1.87927794456482,Turkey,Ankara,39.9333333333333,32.866667,TR,Europe
20yDAohnjeOlLpnogPhnCO,Warlordz,Kollegah,at,2017-12-13,185,2658,0.485,0.693,10.0,-6.478,0.0,0.288,0.128,0.0,0.49,0.567,89.568,186249.0,4.0,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,Austria,Vienna,48.2,16.366667,AT,Europe
0VgkVdmE4gld66l8iyGjgx,"Mask Off",Future,gr,2017-12-31,71,1327,0.833,0.434,2.0,-8.795,1.0,0.431,0.0102,0.0219,0.165,0.281,150.062,204600.0,4.0,Greece,87,5.22700023651123,5.3252461694181,5.12875430360436,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.0,0.04328977689147,1.74922156333923,Greece,Athens,37.9833333333333,23.733333,GR,Europe
4jaaMznp3KPllxbmRdiIbx,Hanatabanokawarinimelodywo,"Shota Shimizu",jp,2017-12-31,169,4009,0.422,0.483,8.0,-5.344,1.0,0.0292,0.0813,9.77e-06,0.276,0.286,129.869,309440.0,4.0,Japan,51,5.92000007629395,5.99071944460273,5.84928070798516,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,1.36322355270386,Japan,Tokyo,35.6833333333333,139.75,JP,Asia
4AW9Fobw3ENnOFDKwKdq7Q,"普通の今夜のことを ー let tonight be forever remembered ー","Daichi Miura",jp,2017-12-31,86,6039,0.639,0.749,0.0,-4.916,1.0,0.182,0.0683,0.0,0.0272,0.736,176.011,186200.0,4.0,Japan,51,5.92000007629395,5.99071944460273,5.84928070798516,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,1.36322355270386,Japan,Tokyo,35.6833333333333,139.75,JP,Asia
01vHGJRvJ6EZW9KO8NtZpi,"Un Polvo",Maluma,py,2017-11-02,165,1042,0.811,0.681,6.0,-4.715,0.0,0.0712,0.673,0.0,0.636,0.468,134.062,306373.0,4.0,Paraguay,70,5.49300003051758,5.57738126963377,5.40861879140139,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,Paraguay,Asuncion,-25.2666666666667,-57.666667,PY,"South America"
6081KcXIw1Xli7DBL53CVH,"A Ella","Karol G",do,2017-12-20,192,1015,0.722,0.759,2.0,-5.413,1.0,0.215,0.218,6.28e-06,0.15,0.551,181.941,198907.0,4.0,"Dominican Republic",86,5.23000001907349,5.34906088516116,5.11093915298581,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,1.31946516036987,"Dominican Republic","Santo Domingo",18.4666666666667,-69.9,DO,"North America"
626rYyBfeAeleh1F5t4B70,"Caile (feat. Zion & De La Ghetto)",Revol,py,2017-12-31,200,1175,0.768,0.735,1.0,-2.511,0.0,0.0669,0.202,0.0,0.0557,0.303,129.99,299587.0,4.0,Paraguay,70,5.49300003051758,5.57738126963377,5.40861879140139,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,Paraguay,Asuncion,-25.2666666666667,-57.666667,PY,"South America"
63kgvYkyiyVAAomPuP2Ipt,"När man festar festar man",Tonsatt,se,2017-12-30,194,15342,0.843,0.755,11.0,-6.79,0.0,0.263,0.129,0.0,0.731,0.617,130.01,184500.0,4.0,Sweden,9,7.28399991989136,7.34409487739205,7.22390496239066,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,2.09753799438477,Sweden,Stockholm,59.3333333333333,18.05,SE,Europe
5dH7o4TP3HYLvCjo4QAhhv,Trumpets,"Sak Noel & Salvi",uy,2017-01-26,171,1073,0.676,0.708,9.0,-6.989,1.0,0.225,0.00251,0.000134,0.0515,0.435,100.025,206400.0,4.0,Uruguay,28,6.4539999961853,6.54590621769428,6.36209377467632,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,Uruguay,Montevideo,-34.85,-56.166667,UY,"South America"
4IaTyEJhqQB1YCCXtTKPLr,Sanki,"Bengü",tr,2017-11-17,179,7567,0.434,0.633,11.0,-6.245,0.0,0.0577,0.256,0.0,0.243,0.313,160.034,240490.0,4.0,Turkey,69,5.5,5.59486496329308,5.40513503670692,1.19827437400818,1.33775317668915,0.637605607509613,0.300740599632263,0.0466930419206619,0.0996715798974037,1.87927794456482,Turkey,Ankara,39.9333333333333,32.866667,TR,Europe
3H25ywsvlV0ZT2XSpSU7wk,Kontrollieren,"RAF Camora",at,2017-08-24,75,3697,0.723,0.937,4.0,-5.162,1.0,0.229,0.534,6.8e-05,0.0616,0.381,132.018,201249.0,4.0,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,Austria,Vienna,48.2,16.366667,AT,Europe
2yajAy8Va9VTk3yhF9B3ET,"No vaya a ser","Pablo Alborán",py,2017-11-16,169,1080,0.731,0.687,1.0,-7.399,0.0,0.0586,0.232,2.33e-05,0.265,0.577,99.995,198053.0,4.0,Paraguay,70,5.49300003051758,5.57738126963377,5.40861879140139,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,Paraguay,Asuncion,-25.2666666666667,-57.666667,PY,"South America"
3cfOd4CMv2snFaKAnMdnvK,"All Star","Smash Mouth",au,2017-12-30,178,22469,0.731,0.861,11.0,-5.881,1.0,0.0323,0.0319,0.0,0.0829,0.78,104.034,200373.0,4.0,Australia,10,7.28399991989136,7.35665122494102,7.2113486148417,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,Australia,Canberra,-35.2666666666667,149.133333,AU,Australia
6gBFPUFcJLzWGx4lenP6h2,goosebumps,"Travis Scott",gr,2017-12-31,55,1595,0.841,0.728,7.0,-3.37,1.0,0.0484,0.0847,0.0,0.149,0.43,130.049,243837.0,4.0,Greece,87,5.22700023651123,5.3252461694181,5.12875430360436,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.0,0.04328977689147,1.74922156333923,Greece,Athens,37.9833333333333,23.733333,GR,Europe
4F7RKNYTepAZbPGhM7JwU7,"Den Bedste Julesang Ever","Ude Af Kontrol",dk,2017-12-29,177,8594,0.851,0.803,10.0,-5.607,0.0,0.171,0.215,4.78e-06,0.0711,0.59,128.026,174375.0,4.0,Denmark,2,7.52199983596802,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2.31370735168457,Denmark,Copenhagen,55.6666666666667,12.583333,DK,Europe
0FVuUna31PTRmWGLs8W1o4,"Se Pone Loca",CantoParaBailar,uy,2017-12-31,150,1565,0.499,0.879,9.0,-2.804,1.0,0.164,0.158,0.0,0.0998,0.959,205.829,201000.0,4.0,Uruguay,28,6.4539999961853,6.54590621769428,6.36209377467632,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,Uruguay,Montevideo,-34.85,-56.166667,UY,"South America"
7HGHhLbAklVxGkYdwyeVML,"Friday Night",Vigiland,se,2017-12-31,88,66214,0.718,0.673,1.0,-5.567,0.0,0.0366,0.00104,1.16e-05,0.0577,0.0825,128.051,173871.0,4.0,Sweden,9,7.28399991989136,7.34409487739205,7.22390496239066,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,2.09753799438477,Sweden,Stockholm,59.3333333333333,18.05,SE,Europe
37DbCoArETu3xBSm5MT2o7,Lamborghini,"Gue Pequeno",ch,2017-06-30,178,3204,0.825,0.568,10.0,-5.62,1.0,0.0658,0.375,0.0,0.312,0.572,124.053,218400.0,4.0,Switzerland,4,7.49399995803833,7.56177242040634,7.42622749567032,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,2.2767162322998,Switzerland,Bern,46.9166666666667,7.466667,CH,Europe
77hjM9bMmgfTGJXv14UFmi,"Play That Song",Train,au,2017-05-16,178,17802,0.392,0.825,0.0,-2.068,0.0,0.0535,0.0231,2.25e-06,0.0972,0.482,98.959,243253.0,4.0,Australia,10,7.28399991989136,7.35665122494102,7.2113486148417,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,Australia,Canberra,-35.2666666666667,149.133333,AU,Australia
3pM81OKNrV6d2zJb76nQ6M,Turutum,"MC Kevinho",py,2017-07-30,141,1081,0.887,0.883,1.0,0.076,1.0,0.0728,0.397,0.00638,0.0949,0.963,130.015,206860.0,4.0,Paraguay,70,5.49300003051758,5.57738126963377,5.40861879140139,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,Paraguay,Asuncion,-25.2666666666667,-57.666667,PY,"South America"
1AhDOtG9vPSOmsWgNW0BEY,"Bohemian Rhapsody - Remastered 2011",Queen,au,2017-09-07,157,22175,0.414,0.404,0.0,-9.928,0.0,0.0499,0.271,0.0,0.3,0.224,71.105,354320.0,4.0,Australia,10,7.28399991989136,7.35665122494102,7.2113486148417,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,Australia,Canberra,-35.2666666666667,149.133333,AU,Australia
2nJujuhYIcdVue7sNeZUq9,"Bruce Wayne","Bugzy Malone",gb,2017-07-20,168,44662,0.465,0.811,7.0,-4.914,1.0,0.305,0.0741,0.000531,0.14,0.513,172.283,227243.0,5.0,"United Kingdom",19,6.71400022506714,6.78379176110029,6.64420868903399,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,1.70414352416992,"United Kingdom",London,51.5,-0.083333,GB,Europe
